Title,Author,Rating,Number of users rated,Price
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876 ",Bret Baier,4.8 out of 5 stars, and ,$17.74
Night (Night) ,Audible Audiobook,4.7 out of 5 stars,More Buying Choices,$5.49
Beyond Biden: Rebuilding the America We Love ,Newt Gingrich,4.7 out of 5 stars,185,$18.84
Dune ,Paperback,4.7 out of 5 stars,Other formats: ,$0.00
Extreme Ownership: How U.S. Navy SEALs Lead and Win ,Paperback,4.8 out of 5 stars,Other formats: ,$0.00
Pride & Prejudice (Deluxe Edition) ,Kindle,4.6 out of 5 stars,Jane Austin,$18.30
The Fire Next Time ,James Baldwin,4.9 out of 5 stars,"7,989",$11.95
The Guest List: A Novel ,Paperback,4.2 out of 5 stars,Lucy Foley,$0.00
Sweet Water ,Cara Reinard,4.2 out of 5 stars,"12,584",$0.00
The Five Wishes of Mr. Murray McBride ,Kindle,4.7 out of 5 stars,More Buying Choices,$13.99
Verity ,Colleen Hoover,4.6 out of 5 stars,"41,355",$7.99
The Restaurant (The Nantucket Restaurant series Book 1) ,Paperback,4.1 out of 5 stars,Other formats: ,$4.99
Sooley: A Novel ,John Grisham,4.5 out of 5 stars,"27,877",$15.67
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis ,Kindle,4.5 out of 5 stars,J. D. Vance,$0.00
The Prayer Box (A Carolina Heirlooms Novel) ,Kindle,4.7 out of 5 stars,More Buying Choices,$9.19
Once Upon a Chef: Weeknight/Weekend: 70 Quick-Fix Weeknight Dinners + 30 Luscious Weekend Recipes: A Cookbook ,Jennifer Segal,4.9 out of 5 stars,654,$26.99
"The Complete Works of Jane Austen: (In One Volume) Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady ... Sandition, and the Complete Juvenilia ",Jane Austen,4.7 out of 5 stars,"1,271",$2.99
"The Complete Works of Jane Austen: (In One Volume) Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady ... Sandition, and the Complete Juvenilia ",Jane Austen,4.7 out of 5 stars,"1,271",$2.99
Last Girl Ghosted: A Novel ,Lisa Unger,4.2 out of 5 stars,"1,235",$12.99
"The Complete Air Fryer Cookbook for Beginners 2022: 1000 Quick, Easy & Affordable Air Fryer Recipes - Tips & Tricks - Fry, Grill, Roast, and Bake Your Favorite Foods ",Elena Baker,4.4 out of 5 stars,128,$15.95
Travels with George: In Search of Washington and His Legacy ,Nathaniel Philbrick,4.3 out of 5 stars,229,$20.30
It's Better This Way: A Novel ,Debbie Macomber,4.5 out of 5 stars,"4,350",$13.99
The Book of Lost Friends: A Novel ,Kindle,4.5 out of 5 stars,Lisa Wingate,$0.00
The Personal Librarian ,Marie Benedict,4.5 out of 5 stars, and ,$11.99
Clive Cussler's The Devil's Sea (Dirk Pitt Adventure Book 26) ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$14.99
My Daddy the Pedophile: A Memoir ,Paperback,4.5 out of 5 stars,Lily Palazzi,$0.00
The Book of Joy: Lasting Happiness in a Changing World ,Audible Audiobook,4.8 out of 5 stars,More Buying Choices,$18.73
Firekeeper's Daughter ,Angeline Boulley,4.6 out of 5 stars,"4,378",$10.99
