Title,Author,Rating,Number of users rated,Price
The School Mistress (Emerson Pass Historicals Book 1) ,Audible Audiobook,4.4 out of 5 stars,"1,111",$0.00 
Blood and Thunder: The Epic Story of Kit Carson and the Conquest of the American West ,Hampton Sides,4.7 out of 5 stars,"2,370",$17.10 
Unfu*k Yourself: Get Out of Your Head and into Your Life ,Hardcover,4.6 out of 5 stars,786,$0.00 
The Darkest Evening: A Vera Stanhope Novel ,Audible Audiobook,4.6 out of 5 stars,"1,111",$10.99 
To Kill and Kill Again: The Terrifying True Story of Montana's Baby-Faced Serial Sex Murderer ,John Coston,4.4 out of 5 stars,592,$18.70 
"The Becoming: The Dragon Heart Legacy, Book 2 ",Hardcover,4.7 out of 5 stars,562,$14.99 
"Stomp, Wiggle, Clap, and Tap: My First Book of Dance ",Rachelle Burk,4.7 out of 5 stars,316,$8.57 
Seven Perfect Things: A Novel ,Catherine Ryan Hyde,4.5 out of 5 stars,"21,152",$0.00 
The Arrangement ,Kiersten Modglin,4.2 out of 5 stars,"4,490",$0.00 
Facing the Mountain: A True Story of Japanese American Heroes in World War II ,Daniel James Brown,4.7 out of 5 stars,"1,569",$15.00 
Be Right Back!: How To Overcome Your Dog's Separation Anxiety And Regain Your Freedom ,Kindle,4.3 out of 5 stars,"1,209",$12.95 
Wildflower: A Tale of Transcendence ,Dr. Teresa Van Woy,4.7 out of 5 stars,762,$0.00 
The New Mother: A completely gripping psychological thriller with a breathtaking twist ,Julia Crouch,4.1 out of 5 stars,119,$3.99 
Renegades Born in the USA ,Barack Obama,4.8 out of 5 stars,"1,111",$30.00 
For the Wolf ,Kindle,4.2 out of 5 stars,"4,490",$0.00 
LA ÚLTIMA CRIPTA: La novela Nº1 en Amazon España (Las aventuras de Ulises Vidal) (Spanish Edition) ,Paperback,4.1 out of 5 stars,992,$0.00 
Open Your Eyes: The true story of an Afghan doctor who found the meaning of life by following Rumi’s philosophy of living. ,Dr. Farid Mostamand,4.9 out of 5 stars,32,$0.00 
Mercy (Atlee Pine Book 4) ,Audible Audiobook,4.6 out of 5 stars,"1,209",$14.99 
The Thursday Murder Club: A Novel (A Thursday Murder Club Mystery Book 1) ,Audible Audiobook,4.3 out of 5 stars,"1,209",$11.99 
"Of Blood and Bone: Chronicles of The One, Book 2 ",Kindle,4.7 out of 5 stars,"1,209",$0.00 
Signs of Life Series: A Christian Fiction Thriller Series Boxed Set ,Creston Mapes,4.8 out of 5 stars,92,$0.00 
The Good Sister: A Novel ,Sally Hepworth,4.4 out of 5 stars,"12,872",$14.99 
Effortless: Make It Easier to Do What Matters Most ,Hardcover,4.6 out of 5 stars,120,$0.00 
The Rainbow: Absolutely heartbreaking World War 2 historical fiction based on a true story ,Carly Schabowski,4.5 out of 5 stars,"1,209",$3.99 
Sherlock Holmes: The Complete Collection ,Arthur Conan Doyle,4.7 out of 5 stars,"1,736",$2.99 
The Killing Kind: The incredible new 2021 break-out crime thriller suspense book from the international bestselling author ,Jane Casey,4.0 out of 5 stars,584,$9.99 
